alpha,dgp,statistic,n,B,repetitions,true_value,exact,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.43207091891112837,,,,,,,,,-1.1001020092052642,-0.8977947385268595,,,,,,-0.19033127771886738
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.378345803531936,,,,,,,,,-1.6529447610078138,-1.0352005336288053,,,,,,-0.7006017441960021
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.952636811209022,,,,,,,,,-2.0711685049001147,-2.0194698621047755,,,,,,-3.0560663424521133
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9518275733380183,,,,,,,,,-0.3361121485882494,-0.355747540755659,,,,,,-0.36815023490234816
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7542093875147459,,,,,,,,,-1.0711543874017524,-0.8729472877698246,,,,,,0.08395626599982203
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.30682175433507963,,,,,,,,,0.12634375141338672,0.15853000989896113,,,,,,0.13922856378511295
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.5238112434597981,,,,,,,,,-0.06918629212608174,0.08993158314008488,,,,,,0.18826385226649567
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.856053676122122,,,,,,,,,-1.7144045559380316,-1.5441281086838583,,,,,,-1.580197822421805
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4269670551124876,,,,,,,,,-1.1996508417166898,-0.9663762165576046,,,,,,-0.7028643316919015
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5482797369316001,,,,,,,,,-1.8367892117698466,-1.475764883405355,,,,,,-6.471967333196191
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7611329404371694,,,,,,,,,-0.6559486620828741,-0.7010816139894162,,,,,,-0.9007859537451668
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4252751345547408,,,,,,,,,-1.0165347835545868,-0.9908693760048616,,,,,,-0.7917085875473017
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.43978349466722555,,,,,,,,,-0.5859116063346151,-0.2795740770792538,,,,,,0.04528385545312286
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.6078543497308044,,,,,,,,,-2.10734748618238,-1.5945914302209097,,,,,,-1.8720540795595937
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3425407481314728,,,,,,,,,-1.9148295175206718,-1.5672870020550398,,,,,,-1.2597089015299257
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0041551028809916,,,,,,,,,-1.2647789105785043,-0.9368099742407225,,,,,,-2.15990105371232
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3062515459261368,,,,,,,,,-1.9547273325793535,-1.6337117395027159,,,,,,-1.2717024608531808
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3594865323616925,,,,,,,,,-1.0629034947980935,-1.0901110972711208,,,,,,-1.2090624377820303
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7673508230304609,,,,,,,,,-1.2913808298737364,-1.1834307906022483,,,,,,-0.4062621712781266
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0373629382186849,,,,,,,,,-0.5692615787174576,-0.5782689439608617,,,,,,-1.0229944141755924
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8118742966147139,,,,,,,,,-0.7782644100463099,-0.4200979166031506,,,,,,-0.23446689468080442
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9369476561293344,,,,,,,,,-1.477925782764956,-1.0003005170161188,,,,,,-2.3177032836719826
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8408964060052201,,,,,,,,,-0.719894458042853,-0.4007022473570437,,,,,,-2.7940654333781154
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9971491490309756,,,,,,,,,-1.0257879062566928,-1.0636943589625476,,,,,,-1.0453057396053265
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.37073614216753326,,,,,,,,,-0.7949402764307181,-0.20971342662086578,,,,,,-0.9545400485230848
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7620344384370766,,,,,,,,,-0.8819944714228735,-0.9700115598044433,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6832029151978678,,,,,,,,,-0.1755769472812076,-0.05906839299792787,,,,,,0.09141508917172436
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6281590425471859,,,,,,,,,-0.10685765165336436,-0.049028924040009136,,,,,,0.24867725661912782
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1511774594872788,,,,,,,,,-1.2131889394947837,-0.9852751094530307,,,,,,-1.7133924279536434
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.0987892661859118,,,,,,,,,-1.3340201851530145,-1.3285352057348385,,,,,,-4.2861767191603235
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3846003345575146,,,,,,,,,-1.734153300522378,-1.262395327142922,,,,,,-0.9775263799851396
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1889779672775476,,,,,,,,,-0.5121501142956251,-0.46599631082202886,,,,,,-0.5272158710296606
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.3175879081989804,,,,,,,,,-0.4883843078539408,-0.08238427753441928,,,,,,-0.22519793533321908
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6402619573361832,,,,,,,,,-0.8706931219875098,-0.8877171030674365,,,,,,-0.3712012159900223
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.6691655243218422,,,,,,,,,-0.8957843373511858,-0.9902858722974347,,,,,,-8.207436347644258
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.3779119135437379,,,,,,,,,-1.710458172409931,-1.4098773897210037,,,,,,-2.5934271785601593
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1081038310673832,,,,,,,,,-2.168686243244628,-2.27146386187242,,,,,,-3.1796730595206206
