dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005350112915039062,0.00999760627746582,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.009996175765991211,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009976387023925781,,,,,,0.0009944438934326172
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010080337524414062,0.008975744247436523,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010934829711914062,,,,,,0.001033782958984375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009936809539794922,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010970354080200195,,,,,,0.0010495185852050781
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.008928775787353516,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975744247436523,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009972810745239258,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009973287582397461,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009973764419555664,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01098489761352539,,,,,,0.001008749008178711
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009968280792236328,0.014563798904418945,,,,,,0.0009999275207519531
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00993204116821289,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975744247436523,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973287582397461,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973287582397461,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009993791580200195,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009972810745239258,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010010242462158203,,,,,,0.0010123252868652344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009987592697143555,,,,,,0.0009982585906982422
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975982666015625,,,,,,0.0010025501251220703
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0013837814331054688,0.00899958610534668,,,,,,0.0005161762237548828
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.0099639892578125,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973287582397461,,,,,,0.000997304916381836
